           XData            YData 
 3.038576541E+00  1.452508201E+03 
 3.258492884E+00  1.444611601E+03 
 3.494325627E+00  1.436604621E+03 
 3.747226716E+00  1.428485677E+03 
 4.018431468E+00  1.420253164E+03 
 4.309264608E+00  1.411905456E+03 
 4.621146735E+00  1.403440904E+03 
 4.955601267E+00  1.394857839E+03 
 5.314261875E+00  1.386154568E+03 
 5.698880470E+00  1.377329375E+03 
 6.111335756E+00  1.368380521E+03 
 6.553642407E+00  1.359306244E+03 
 7.027960910E+00  1.350104758E+03 
 7.536608115E+00  1.340774253E+03 
 8.082068556E+00  1.331312894E+03 
 8.667006582E+00  1.321718820E+03 
 9.294279377E+00  1.311990146E+03 
 9.966950908E+00  1.302124961E+03 
 1.068830690E+01  1.292121327E+03 
 1.146187089E+01  1.281977279E+03 
 1.229142140E+01  1.271690828E+03 
 1.318101046E+01  1.261259953E+03 
 1.413498335E+01  1.250682610E+03 
 1.515799982E+01  1.239956722E+03 
 1.625505689E+01  1.229080188E+03 
 1.743151325E+01  1.218050874E+03 
 1.869311538E+01  1.206866619E+03 
 2.004602571E+01  1.195525231E+03 
 2.149685264E+01  1.184024488E+03 
 2.305268287E+01  1.172362137E+03 
 2.472111599E+01  1.160535893E+03 
 2.651030160E+01  1.148543440E+03 
 2.842897915E+01  1.136382430E+03 
 3.048652059E+01  1.124050483E+03 
 3.269297616E+01  1.111545184E+03 
 3.505912349E+01  1.098864085E+03 
 3.759652025E+01  1.086004705E+03 
 4.031756056E+01  1.072964527E+03 
 4.323553560E+01  1.059740999E+03 
 4.636469847E+01  1.046331535E+03 
 4.972033385E+01  1.032733511E+03 
 5.331883265E+01  1.018944267E+03 
 5.717777204E+01  1.004961106E+03 
 6.131600137E+01  9.907812937E+02 
 6.575373419E+01  9.764020562E+02 
 7.051264699E+01  9.618205819E+02 
 7.561598511E+01  9.470340196E+02 
 8.108867627E+01  9.320394780E+02 
 8.695745230E+01  9.168340256E+02 
 9.325097978E+01  9.014146896E+02 
 1.000000000E+02  8.857784557E+02 
